Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Calvin Garrett,1981,1984,F,6-7,190,"July 11, 1956","Austin Peay State University, Oral Roberts University"
Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico
Cameron Payne,2016,2019,G,6-3,190,"August 8, 1994",Murray State University
Cameron Reynolds,2019,2019,G,6-8,225,"February 7, 1995",Tulane University
Carey Scurry,1986,1988,F,6-7,188,"December 4, 1962",Long Island University
Caris LeVert,2017,2019,G-F,6-7,204,"August 25, 1994",University of Michigan
Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University
Carl Henry,1986,1986,G,6-6,205,"August 16, 1960","Oklahoma City University, University of Kansas"
Carl Herrera,1992,1999,F,6-9,215,"December 14, 1966","Jacksonville University, University of Houston"
Carl Landry,2008,2016,F,6-9,248,"September 19, 1983",Purdue University
Carl Nicks,1981,1983,G,6-1,175,"October 6, 1958",Indiana State University
Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan University
Carldell Johnson,2012,2012,G,5-10,180,"January 28, 1983",University of Alabama at Birmingham
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University
Carlos Clark,1984,1985,G,6-4,210,"August 10, 1960",University of Mississippi
Carlos Delfino,2005,2013,G,6-6,230,"August 29, 1982",
Carlos Rogers,1995,2002,C-F,6-11,220,"February 6, 1971","University of Arkansas at Little Rock, Tennessee State University"
Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State University
Carlton McKinney,1990,1992,G,6-4,190,"October 21, 1964","University of Tulsa, Southern Methodist University"
Carmelo Anthony,2004,2019,F,6-8,240,"May 29, 1984",Syracuse University
Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",University of Connecticut
Carrick Felix,2014,2014,G,6-6,201,"August 17, 1990",Arizona State University
Cartier Martin,2009,2015,F,6-7,220,"November 20, 1984",Kansas State University
Casey Jacobsen,2003,2008,G-F,6-6,215,"March 19, 1981",Stanford University
Casey Shaw,1999,1999,C,6-11,260,"July 20, 1975",University of Toledo
Casper Ware,2014,2014,G,5-10,175,"January 17, 1990","California State University, Long Beach"
Cedi Osman,2018,2019,F,6-8,215,"April 8, 1995",
Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte
Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles"
Cedric Ceballos,1991,2001,F,6-6,190,"August 2, 1969","California State University, Fullerton"
Cedric Henderson,1987,1987,F,6-8,210,"October 3, 1965",University of Georgia
Cedric Henderson,1998,2002,F,6-7,215,"March 11, 1975",University of Memphis
Cedric Hunter,1992,1992,G,6-0,180,"January 16, 1965",University of Kansas
Cedric Jackson,2010,2010,G,6-3,191,"March 5, 1986","St. John's University, Cleveland State University"
Cedric Lewis,1996,1996,F-C,6-10,235,"September 24, 1969",University of Maryland
Cedric Simmons,2007,2009,F,6-9,235,"January 3, 1986",North Carolina State University
Cedrick Hordges,1981,1982,F-C,6-8,220,"January 8, 1957","Auburn University, University of South Carolina"
Cezary Trybanski,2003,2004,C,7-2,240,"September 22, 1979",
Chad Gallagher,1994,1994,C,6-10,255,"May 30, 1969",Creighton University
Chad Kinch,1981,1981,G,6-4,190,"May 22, 1958",University of North Carolina at Charlotte
Chandler Hutchison,2019,2019,G,6-7,197,"April 26, 1996",Boise State University
Chandler Parsons,2012,2019,F,6-10,230,"October 25, 1988",University of Florida
Channing Frye,2006,2019,C-F,7-0,255,"May 17, 1983",University of Arizona
Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn University
Charles Bradley,1982,1984,G,6-5,215,"May 16, 1959",University of Wyoming
Charles Claxton,1996,1996,C,7-0,265,"December 13, 1970",University of Georgia
Charles Cooke,2018,2018,G,6-5,196,"July 1, 1994",University of Dayton
Charles Davis,1982,1990,F,6-7,215,"October 5, 1958",Vanderbilt University
Charles Jenkins,2012,2013,G,6-3,220,"February 28, 1989",Hofstra University
Charles Jones,1999,2000,G,6-3,180,"July 17, 1975","Rutgers University, Long Island University"
Charles Jones,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University
Charles Jones,1985,1989,F,6-8,215,"January 12, 1962",University of Louisville
Charles O'Bannon,1998,1999,G-F,6-5,209,"February 22, 1975","University of California, Los Angeles"
Charles Oakley,1986,2004,F-C,6-8,225,"December 18, 1963",Virginia Union University
Charles Pittman,1983,1986,F,6-8,220,"March 23, 1958",University of Maryland
Charles Shackleford,1989,1999,F-C,6-10,225,"April 22, 1966",North Carolina State University
Charles Smith,1989,1997,F-C,6-10,230,"July 16, 1965",University of Pittsburgh
Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",University of New Mexico
Charles Smith,1990,1996,G,6-1,160,"November 29, 1967",Georgetown University
Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan University
Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University
Charlie Sitton,1985,1985,F,6-8,210,"July 3, 1962",Oregon State University
Charlie Villanueva,2006,2016,F,6-11,232,"August 24, 1984",University of Connecticut
Charlie Ward,1995,2005,G,6-2,190,"October 12, 1970",Florida State University
Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",University of Arizona
Chasson Randle,2017,2019,G,6-2,185,"February 5, 1993",Stanford University
Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado
Cheick Diallo,2017,2019,F,6-9,220,"September 13, 1996",University of Kansas
Cheikh Samb,2008,2009,C,7-1,245,"October 22, 1984",
Cherokee Parks,1996,2004,C-F,6-11,235,"October 11, 1972",Duke University
Chimezie Metu,2019,2019,F,6-10,225,"March 22, 1997",University of Southern California
Chinanu Onuaku,2017,2018,F-C,6-10,245,"November 1, 1996",University of Louisville
Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",
Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Pennsylvania State University, Iowa State University"
Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology
Chris Boucher,2018,2019,F,6-10,200,"January 11, 1993",University of Oregon
Chris Carr,1996,2001,G,6-5,207,"March 12, 1974",Southern Illinois University
Chris Childs,1995,2003,G,6-3,195,"November 20, 1967",Boise State University
Chris Chiozza,2019,2019,G,6-0,176,"November 25, 1995",University of Florida
Chris Copeland,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado
Chris Corchiani,1992,1994,G,6-0,185,"March 28, 1968",North Carolina State University
Chris Crawford,1998,2004,F,6-9,235,"May 13, 1975",Marquette University
Chris Douglas-Roberts,2009,2015,G,6-7,200,"January 8, 1987",University of Memphis
Chris Dudley,1988,2003,C,6-11,235,"February 22, 1965",Yale University
Chris Duhon,2005,2013,G,6-1,185,"August 31, 1982",Duke University
Chris Engler,1983,1988,C,6-11,245,"March 1, 1959","University of Minnesota, University of Wyoming"
Chris Garner,1998,2001,G,5-10,156,"February 2, 1975",University of Memphis
Chris Gatling,1992,2002,F-C,6-10,220,"September 3, 1967",Old Dominion University
Chris Herren,2000,2001,G,6-2,197,"September 27, 1975","Boston College, California State University, Fresno"
Chris Hunter,2010,2010,F,6-11,240,"July 7, 1984",University of Michigan
Chris Jefferies,2003,2004,G-F,6-8,225,"February 13, 1980","University of Arkansas, California State University, Fresno"
Chris Jent,1994,1997,F,6-7,220,"January 11, 1970",Ohio State University
Chris Johnson,2011,2013,C,6-11,210,"July 15, 1985",Louisiana State University
Chris Johnson,2013,2016,F-G,6-6,206,"April 29, 1990",University of Dayton
Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University
Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest University
Chris McCray,2007,2007,G,6-5,192,"May 27, 1984",University of Maryland
Chris McCullough,2016,2018,F,6-11,200,"February 5, 1995",Syracuse University
Chris McNealy,1986,1988,F,6-7,210,"July 15, 1961",San Jose State University
Chris Mihm,2001,2009,C,7-0,265,"July 16, 1979",University of Texas at Austin
Chris Mills,1994,2003,F,6-6,215,"January 25, 1970","University of Kentucky, University of Arizona"
Chris Morris,1989,1999,F,6-8,210,"January 20, 1966",Auburn University
Chris Mullin*,1986,2001,F-G,6-6,200,"July 30, 1963",St. John's University
Chris Munk,1991,1991,F,6-9,225,"August 5, 1967",University of Southern California
Chris Owens,2003,2003,F,6-7,245,"March 1, 1979","Tulane University, University of Texas at Austin"
Chris Paul,2006,2019,G,6-0,175,"May 6, 1985",Wake Forest University
Chris Porter,2001,2001,F,6-7,218,"May 9, 1978",Auburn University
Chris Quinn,2007,2013,G,6-2,185,"September 27, 1983",University of Notre Dame
Chris Richard,2008,2010,F,6-9,270,"December 25, 1984",University of Florida
Chris Robinson,1997,1998,G,6-5,200,"April 2, 1974",Western Kentucky University
Chris Singleton,2012,2014,F,6-8,230,"November 21, 1989",Florida State University
Chris Smith,2014,2014,G,6-2,200,"October 13, 1987","Manhattan College, University of Louisville"
Chris Smith,1993,1995,G,6-3,190,"May 17, 1970",University of Connecticut
Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",University of Pittsburgh
Chris Washburn,1987,1988,C,6-11,225,"May 13, 1965",North Carolina State University
Chris Webber,1994,2008,F-C,6-9,245,"March 1, 1973",University of Michigan
Chris Welp,1988,1990,C,7-0,245,"January 2, 1964",University of Washington
Chris Whitney,1994,2004,G,6-0,168,"October 5, 1971",Clemson University
Chris Wilcox,2003,2013,F,6-10,221,"September 3, 1982",University of Maryland
Chris Wright,2012,2014,F,6-8,226,"September 30, 1988",University of Dayton
Chris Wright,2013,2013,G,6-1,210,"November 4, 1989",Georgetown University
Christian Eyenga,2011,2012,F,6-5,210,"June 22, 1989",
Christian Laettner,1993,2005,F-C,6-11,235,"August 17, 1969",Duke University
Christian Wood,2016,2019,F,6-10,214,"September 27, 1995","University of Nevada, Las Vegas"
Chubby Cox,1983,1983,G,6-2,180,"December 29, 1955","Villanova University, University of San Francisco"
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","University of Kentucky, University of Connecticut"
Chuck Hayes,2006,2016,F-C,6-6,240,"June 11, 1983",University of Kentucky
Chuck Nevitt,1983,1994,C,7-5,217,"June 13, 1959",North Carolina State University
Chuck Person,1987,2000,F,6-8,220,"June 27, 1964",Auburn University
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida
Chucky Brown,1990,2002,F,6-7,214,"February 29, 1968",North Carolina State University
Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959",Lamar University
Clarence Weatherspoon,1993,2005,F,6-6,240,"September 8, 1970",University of Southern Mississippi
Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State University
Claude Gregory,1986,1988,F,6-8,205,"December 26, 1958",University of Wisconsin
Clay Johnson,1982,1984,G,6-4,175,"July 18, 1956",University of Missouri
Cleanthony Early,2015,2016,F,6-8,210,"April 17, 1991",Wichita State University
Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",University of Kansas
Cliff Levingston,1983,1995,F,6-8,210,"January 4, 1961",Wichita State University
Clifford Lett,1990,1991,G,6-3,170,"December 23, 1965",University of Florida
Clifford Robinson,1990,2007,F-C,6-10,225,"December 16, 1966",University of Connecticut
Clifford Rozier,1995,1998,C-F,6-11,245,"October 31, 1972","University of North Carolina, University of Louisville"
Clint Capela,2015,2019,C,6-10,240,"May 18, 1994",
Clint McDaniel,1996,1996,G,6-4,180,"February 26, 1972",University of Arkansas
Clinton Smith,1987,1991,F,6-6,210,"January 19, 1964","Ohio State University, Cleveland State University"
Clinton Wheeler,1988,1989,G,6-1,185,"October 27, 1959",William Paterson University
Clyde Drexler*,1984,1998,G,6-7,210,"June 22, 1962",University of Houston
Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State University
Cody Zeller,2014,2019,C-F,7-0,240,"October 5, 1992",Indiana University
Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",University of Kansas
Collin Sexton,2019,2019,G,6-2,190,"January 4, 1999",University of Alabama
Conner Henry,1987,1988,G,6-7,195,"July 21, 1963","University of California, Santa Barbara"
Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, University of Arkansas"
Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State University
Corey Brewer,2008,2019,F-G,6-9,186,"March 5, 1986",University of Florida
Corey Crowder,1992,1995,G-F,6-5,214,"April 13, 1969",Kentucky Wesleyan College
Corey Gaines,1989,1995,G,6-3,195,"June 1, 1965","University of California, Los Angeles, Loyola Marymount University"
Corey Maggette,2000,2013,F,6-6,218,"November 12, 1979",Duke University
Corey Williams,1993,1994,G,6-2,190,"April 24, 1970",Oklahoma State University
Corie Blount,1994,2004,F,6-9,240,"January 4, 1969",University of Cincinnati
Corliss Williamson,1996,2007,F,6-7,245,"December 4, 1973",University of Arkansas
Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",University of Connecticut
Corsley Edwards,2005,2005,F,6-9,275,"March 5, 1979",Central Connecticut State University
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia
Cory Blackwell,1985,1985,F,6-6,210,"March 27, 1963",University of Wisconsin
Cory Carr,1999,1999,G,6-3,210,"December 5, 1975",Texas Tech University
Cory Higgins,2012,2013,G,6-5,180,"June 14, 1989",University of Colorado
Cory Jefferson,2015,2016,F,6-9,218,"December 26, 1990",Baylor University
Cory Joseph,2012,2019,G,6-3,193,"August 20, 1991",University of Texas at Austin
Coty Clarke,2016,2016,F,6-7,232,"July 4, 1992",University of Arkansas
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","University of Virginia, California State University, Fresno"
Courtney Fortson,2012,2012,G,5-11,185,"May 23, 1988",University of Arkansas
Courtney Lee,2009,2019,G,6-5,215,"October 3, 1985",Western Kentucky University
Courtney Sims,2008,2009,C,6-10,245,"October 21, 1983",University of Michigan
Cozell McQueen,1987,1987,F,6-11,235,"January 18, 1962",North Carolina State University
Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University
Craig Dykema,1982,1982,F,6-8,190,"June 11, 1959","California State University, Long Beach"
Craig Ehlo,1984,1997,G-F,6-6,180,"August 11, 1961",Washington State University
Craig Hodges,1983,1992,G,6-2,190,"June 27, 1960","California State University, Long Beach"
Craig Neal,1989,1991,G,6-5,165,"February 16, 1964",Georgia Institute of Technology
Craig Shelton,1981,1982,F,6-7,210,"May 1, 1957",Georgetown University
Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",Boston College
Cristiano Felicio,2016,2019,F-C,6-10,265,"July 7, 1992",
Cuonzo Martin,1996,1997,G-F,6-5,213,"September 23, 1971",Purdue University
Curtis Borchardt,2004,2005,C,7-0,240,"September 13, 1980",Stanford University
Curtis Kitchen,1987,1987,F,6-9,235,"January 30, 1964",University of South Florida
Cuttino Mobley,1999,2009,G,6-4,190,"September 1, 1975",University of Rhode Island
D'Angelo Russell,2016,2019,G,6-5,198,"February 23, 1996",Ohio State University
D.J. Augustin,2009,2019,G,6-0,183,"November 10, 1987",University of Texas at Austin
D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's University
D.J. Stephens,2014,2019,G-F,6-5,188,"December 19, 1990",University of Memphis
D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",University of Maryland
D.J. White,2009,2014,F,6-9,251,"August 31, 1986",Indiana University
D.J. Wilson,2018,2019,F,6-10,231,"February 19, 1996",University of Michigan
DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown University
Daequan Cook,2008,2013,G,6-5,205,"April 28, 1987",Ohio State University
Dahntay Jones,2004,2017,G-F,6-6,225,"December 27, 1980","Rutgers University, Duke University"
Dairis Bertans,2019,2019,G,6-4,200,"September 9, 1989",
Dajuan Wagner,2003,2007,G,6-2,200,"February 4, 1983",University of Memphis
Dakari Johnson,2018,2018,C,7-0,255,"September 22, 1995",University of Kentucky
Dale Davis,1992,2007,F-C,6-11,230,"March 25, 1969",Clemson University
Dale Ellis,1984,2000,G-F,6-7,205,"August 6, 1960",University of Tennessee
Dale Wilkinson,1985,1985,F,6-10,220,"March 18, 1960",Idaho State University
Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",
Dallas Comegys,1988,1989,F,6-9,205,"August 17, 1964",DePaul University
Damian Jones,2017,2019,F-C,7-0,245,"June 30, 1995",Vanderbilt University
Damian Lillard,2013,2019,G,6-3,195,"July 15, 1990",Weber State University
Damien Inglis,2016,2016,F,6-8,246,"May 20, 1995",
Damien Wilkins,2005,2018,F-G,6-6,225,"January 11, 1980","North Carolina State University, University of Georgia"
Damion James,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin
Damion Lee,2018,2019,G,6-6,210,"October 21, 1992","Drexel University, University of Louisville"
Damir Markota,2007,2007,C,6-10,225,"December 26, 1985",
Damjan Rudez,2015,2017,F,6-10,228,"June 17, 1986",
Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",University of Houston
Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",University of Arizona
Damone Brown,2002,2005,F,6-9,200,"June 28, 1979",Syracuse University
Damyean Dotson,2018,2019,G,6-6,210,"May 6, 1994","University of Oregon, University of Houston"
Dan Dickau,2003,2008,G,6-0,190,"September 16, 1978","University of Washington, Gonzaga University"
Dan Gadzuric,2003,2012,C,6-11,240,"February 2, 1978","University of California, Los Angeles"
